cycle,first(math_TB).S,first(math_TB).I,first(math_TB).Le,first(math_TB).Lf,first(math_TB).T,first(math_TB).K,first(math_TB).R1,first(math_TB).R2
53,162.59123078606987,10.218668172446028,3.357482259914788,2.4812999381924996,0.1694207576524801,0.5082622729574405,257.4489440972966,76.62170955276663
54,166.5282439401287,9.24903394043184,3.042105362226479,2.2513638711491297,0.15377545094990133,0.4613263528497041,253.4287318406505,75.42521780971722
55,170.522924851969,8.356855337528016,2.7515991744334394,2.039249764487558,0.13933792155203795,0.41801376465611345,249.35435129240352,74.21260455131036
56,174.5661920811366,7.53748942932816,2.4844990221966756,1.8439334012711608,0.12603915124602438,0.3781174537380728,245.23370506671776,72.98622174604685
57,178.64931225739284,6.786433896421453,2.239383180076822,1.6644190236161676,0.11381199822111508,0.3414359946633451,241.07453925804518,71.74837477918007
58,182.76388896617667,6.099332191230019,2.0148744749128578,1.4997405227002338,0.10259128578074024,0.30777385734222074,236.88443371834686,70.5013195590317
59,186.9018585746088,5.471978254185973,1.809641758033971,1.3489625209725502,0.09231388174194863,0.2769416452258458,232.6707876418457,69.24725822673967
60,191.05549122992176,4.900320800658898,1.622401255858599,1.21118136323057,0.08291877010756271,0.24875631032268827,228.44080179946405,67.98833386888805
61,195.2173954901397,4.380467154016665,1.4519177952640818,1.0855260216501845,0.07434711572864224,0.2230413471859266,224.20145863874427,66.72662459486425
62,199.38052525293995,3.9086865763946137,1.2970058909741038,0.9711589113982174,0.06654232203452068,0.1996269661035621,219.95950134100718,65.4641373038711
63,203.53818783865086,3.4814130354389112,1.15653067655882,0.8672766076872144,0.05945008146128457,0.1783502443838537,215.7214128030996,64.20280142949389
64,207.68405226094228,3.095247340875564,1.0294086579718054,0.773110451677066,0.05301841792858455,0.15905525378575364,211.49339538511262,62.94446291223582
65,211.81215688593576,2.746958587696041,0.9146082683821745,0.6879270311418922,0.04719772057369084,0.14159316172107245,207.2813521379777,61.690878612493265
66,215.91691583801023,2.433484851542829,0.8111502049356464,0.611028521976469,0.04194076792712127,0.12582230378136386,203.09087009683716,60.44371133834423
67,219.99312365823104,2.151933095076879,0.718107531546456,0.5417528781005448,0.03720274178383307,0.1116082253514993,198.92720609935787,59.20452562480868
68,224.0359578586278,1.8995782603009368,0.6346055364387801,0.4794738598195077,0.03294123016620246,0.09882369049860756,194.79527546462393,57.974784364471226
69,228.04097914118614,1.673861539719774,0.5598213385146811,0.4236008939271002,0.02911621896997581,0.08734865690992752,190.6996437504844,56.75584635431063
70,232.00412916357175,1.472387837636277,0.49298324233391905,0.37357876250663685,0.02569007211270739,0.0770702163381222,186.64452169731436,55.54896479086713
71,235.9217258332087,1.2929224507876582,0.43336984720884375,0.32888712124855074,0.02262750024871848,0.06788250074615548,182.63376336622238,54.3552867161374
72,239.7904561967317,1.1333870140544595,0.3803089213488068,0.2890398519269586,0.01989551835987358,0.05968655507962081,178.6708673914698,53.17585339031818
73,243.6073670626756,0.991854771452264,0.33317605689314417,0.2535842572742853,0.01746339276438004,0.05239017829314013,174.75898119149764,52.01160154508837
74,247.36985355157918,0.8665452445607672,0.2913931258681171,0.22210010970659497,0.01530257829578669,0.04590773488736002,170.90090792121677,50.86336545274291
75,251.0756458099046,0.7558183796635921,0.2544265604685244,0.19419856806868419,0.01338664658341974,0.04015993975025923,167.09911590031578,49.73187973223666
76,254.72279415306537,0.6581682610470274,0.2217854835325904,0.16952097871228852,0.01169120650829278,0.03507361952487834,163.35575021800443,48.617782802977366
77,258.3096529195397,0.5722164811738345,0.1930197166343065,0.14773757875533794,0.01019381801218997,0.03058145403656995,159.67264619313613,47.52162089081417
78,261.8348633238115,0.4967052589760744,0.16771769389016666,0.12854612029142984,0.00887390050152089,0.02662170150456269,156.0513443589672,46.44385248778776
79,265.2973355922646,0.4304903955669048,0.14550430943305404,0.11167043465167645,0.00771263711299516,0.02313791133898553,152.49310664257263,45.38485316743222
80,268.6962306547203,0.3725341525955648,0.12603872563807933,0.0968589556142726,0.00669287609805522,0.02007862829416568,148.99893341863358,44.34492066030751
81,272.0309416466498,0.3218981326465853,0.10901216770512437,0.08388321977614027,0.00579903054141008,0.01739709162423025,145.56958113432506,43.32428009950136
82,275.30107545480126,0.27773623391576585,0.09414572823244627,0.07253636122281538,0.00501697756080954,0.01505093268242861,142.20558022472875,42.323089352597755
83,278.50643451348446,0.23928774327988228,0.08118820307928952,0.0626316162400374,0.00433395804569833,0.01300187413709495,138.9072530650172,41.34144436458837
84,281.6469990313715,0.20587062319049634,0.06991397723366755,0.05400085218690619,0.0037384778870195,0.01121543366105848,135.6747317351255,40.3793844449777
85,284.72290980059717,0.17687503890534867,0.06012097668631637,0.04649313287639209,0.00322021153446273,0.00966063460338817,132.50797540345235,39.43689744150353
86,287.73445171209147,0.15175716371954628,0.05162869956304811,0.03997333095854073,0.00276990859576837,0.0083097257873051,129.40678716716505,38.51392475213231
87,290.6820380742867,0.13003329131950772,0.0442763370706103,0.03432079594042856,0.00237930406966706,0.00713791220900119,126.37083021698605,37.61036613600766
88,293.5661958072067,0.11127427635033431,0.03792099223532978,0.02942808466039746,0.00204103268339128,0.00612309805017383,123.39964322317039,36.72608429261011
89,296.38755156088314,0.09510031690685514,0.03243600201319829,0.02519975930734064,0.00174854769049633,0.00524564307148898,120.49265486615553,35.86090918635568
90,299.14681878640636,0.08117608602822367,0.02770936616348433,0.02155125647331572,0.00149604437734545,0.00448813313203635,117.6491974597168,35.01464210110603
91,301.84478576977284,0.06920621345199128,0.02364228433044776,0.01840782927397498,0.00127838842876036,0.00383516528628108,114.86851963611306,34.18705941550967
92,304.48230462315627,0.05893111388640127,0.0201478010821249,0.01570356328155895,0.00109104921612408,0.00327314764837225,112.14979808158482,33.37791609570953
93,307.0602812152391,0.05012315387982464,0.01714955721393909,0.01338046589682463,0.00093003799522187,0.00279011398566562,109.4921483266428,32.58694890673868
94,309.579666011646,0.04258314597078553,0.01458064443216105,0.01138762783986204,0.00079185093643747,0.0023755528093124,106.89463460896006,31.81387934790453
95,312.0414457882049,0.03613715614027774,0.01238255957555194,0.00968045466042912,0.00067341685633403,0.0020202505690021,104.35627883750014,31.058416320684323
96,314.44663617348203,0.03063360859709763,0.01050425379565797,0.00821996554715326,0.00057204947659987,0.0017161484297996,101.87606869497655,30.32025854017136
97,316.7962749726051,0.02594067053622829,0.00890127157677739,0.0069721562396211,0.00048540400307297,0.00145621200921891,99.45296492207437,29.59909670299808
98,319.0914162215362,0.02194389864579936,0.00753497411334701,0.00590742250393414,0.0004114377931772,0.0012343133795316,97.08590783131568,28.894615425986586
99,321.33312491949687,0.01854412872536576,0.00637184135245436,0.00500004040556777,0.00034837486362285,0.00104512459086854,94.77382310126585,28.206494970614614
100,323.522472386918,0.01565558974491703,0.00538284692963916,0.00422769948780205,0.00029467398062904,0.00088402194188711,92.5156269031991,27.53441276880906
